,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
0,Novopokrovka,49.84,36.55,296.15,31,0,2.0,UA,1599086510
1,Luena,-11.78,19.92,291.82,67,0,1.34,AO,1599086513
2,Deputatsky,69.3,139.9,274.61,88,86,2.98,RU,1599086516
3,Hobyo,5.35,48.53,297.8,84,75,10.47,SO,1599086519
4,Laguna,38.42,-121.42,302.59,42,1,2.6,US,1599086523
5,Rikitea,-23.12,-134.97,294.3,82,5,8.29,PF,1599086526
6,Cape Town,-33.93,18.42,289.26,93,75,7.7,ZA,1599086204
7,Torbay,47.67,-52.73,289.26,72,40,3.1,CA,1599086484
8,Leningradskiy,69.38,178.42,275.21,86,100,2.54,RU,1599086535
9,Vaini,-21.2,-175.2,297.15,94,90,5.1,TO,1599086539
10,Shache,38.42,77.24,291.57,28,59,1.82,CN,1599086542
11,Arraial do Cabo,-22.97,-42.03,294.7,89,0,8.46,BR,1599086463
12,Nhamundá,-2.19,-56.71,301.99,48,5,1.57,BR,1599086548
13,Mayo,38.89,-76.51,302.15,83,1,3.1,US,1599086552
14,Zhezkazgan,47.8,67.71,295.11,23,0,2.55,KZ,1599086555
15,Lebu,-37.62,-73.65,281.58,79,68,2.61,CL,1599086558
16,Lloydminster,53.28,-110.0,286.15,76,40,8.2,CA,1599086561
17,São Miguel do Araguaia,-13.28,-50.16,299.91,29,1,1.63,BR,1599086565
18,Manowa,8.17,-10.75,294.77,95,98,1.48,SL,1599086568
19,Karratha,-20.74,116.85,294.97,23,69,3.56,AU,1599086562
20,Kirakira,-10.45,161.92,301.33,78,33,6.98,SB,1599086574
21,Busselton,-33.65,115.33,284.82,59,95,5.22,AU,1599086578
22,São Filipe,14.9,-24.5,298.53,85,99,5.6,CV,1599086508
23,Ushuaia,-54.8,-68.3,276.15,74,90,0.94,AR,1599086584
24,Mūl,20.07,79.67,297.92,90,91,0.41,IN,1599086587
25,Albany,42.6,-73.97,295.93,87,98,2.87,US,1599086555
26,Bluff,-46.6,168.33,280.37,72,62,4.92,NZ,1599086544
27,Punta Arenas,-53.15,-70.92,280.15,70,40,3.6,CL,1599086441
28,Bredasdorp,-34.53,20.04,288.15,77,60,7.2,ZA,1599086600
29,Susanino,58.15,41.59,280.99,92,15,2.22,RU,1599086603
30,New Norfolk,-42.78,147.06,285.37,61,4,1.79,AU,1599086474
31,Castro,-24.79,-50.01,288.49,94,1,3.54,BR,1599086610
32,Ambon City,-3.7,128.18,299.26,94,75,2.1,ID,1599086613
33,Burnie,-41.07,145.92,285.37,92,52,4.92,AU,1599086616
34,Berdigestyakh,62.1,126.7,284.39,75,58,2.52,RU,1599086619
35,Kapaa,22.08,-159.32,302.59,62,75,5.1,US,1599086623
36,Cabo San Lucas,22.89,-109.91,304.82,66,75,2.1,MX,1599086423
37,Airai,-8.93,125.41,292.02,53,39,1.63,TL,1599086522
38,Araouane,18.9,-3.53,307.3,39,10,7.25,ML,1599086556
39,Lebanon,36.21,-86.29,303.15,70,20,3.6,US,1599086372
40,Aklavik,68.22,-135.01,283.15,93,90,1.5,CA,1599086556
